property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,,,,,,,,,
2 BHK Apartment for Sale in Bamroli Surat,Super Area,975,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South - East,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,3282,3200000,,,Mean,12824845.71,,,1 BHK House for Sale in Velanja Surat,1300000,3009
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1250,Resale,Ready to Move,7 out of 14,Unfurnished,East,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,2800,3500000,,,Standard Error,269777.5881,,,1 BHK Builder Floor for Sale in Umra Surat,1420000,3087
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,725,New Property,Poss. by Jan '25,7 out of 14,Unfurnished,South -West,2 and 3 bhk luxurious flats at prime locations.,3500,4620000,,,Median,8900000,,,"1 BHK Apartment for Sale in Ambika Township, Dindoli Surat",1500000,2381
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1558,New Property,Ready to Move,1 out of 5,Unfurnished,North - East,"2 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, and security personnel etc, Other facilities include intercom facility, lift  and park etc.Read more",3017,4700000,,,Mode,6500000,,,1 BHK Apartment for Sale in Suman Vihar Surat,1600000,3556
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,727,New Property,Ready to Move,7 out of 13,Unfurnished,East,"4 balconies per flat Basement Parking  Indoor play and function area passage Clubhouse size passage       Area space per floorPlaning As per VastuMultipurpose Sports AreaGazebo seating24x7 security surveillanceSolar Panel inbuilt for low Maintenance life timeMultipurpose Play Court     Cricket, Badminton, basketball,      volleyballLandscape gardenOpen Big Campus Area   party space and many more..Read more",3075,3850000,,,Standard Deviation,11756237.47,,,2 BHK Apartment for Sale in Akshar enterprise intercity complex Dumbhal Surat,1600000,2667
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1326,New Property,Ready to Move,9 out of 14,Unfurnished,East,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,3771,5000000,,,Sample Variance,1.38209E+14,,,1 BHK Apartment for Sale in Ram Pura Surat,1630000,2686
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1178,New Property,Ready to Move,10 out of 14,Unfurnished,East,"Near new dmart. Decent for leaving,  regular water supply, the perfect home for familynear new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmartRead more",3099,3650000,,,Kurtosis,8.275783309,,,1 BHK Apartment for Sale in Kadodar Surat,1800000,2400
3 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1900,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,3 BHK Levish Flat For Sell With All Aminities.Contact For More Details.Read more,2632,5000000,,,Skewness,2.504112388,,,2 BHK Builder Floor for Sale in Near Arya Club Tena Village Surat,1850000,2373
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,680,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,East,"2 bhk available for salewith morden aminitis like garden, gym,pool, temple, tracking,prime locationmain road center of surateverything is near by contact us for more details.Read more",3747,4650000,,,Range,89000000,,,1 BHK Apartment for Sale in indrajit Apartment near Milk Palace Surat,1900000,2714
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,721,New Property,Ready to Move,3 out of 5,Semi-Furnished,East,Near upcoming metro station. Also near to city bus stop and hospitalRead more,2936,3200000,,,Minimum,1000000,,,2 BHK House for Sale in Palsana Surat,1950000,3009
2 BHK Apartment for Sale in Swagat Home Surat,Carpet Area,545,New Property,Poss. by Dec '24,13 out of 14,Unfurnished,East,Swagat Home,3451,3350000,,,Maximum,90000000,,,1 BHK House for Sale in Dindoli Surat,2000000,3968
1 BHK Apartment for Sale in Palanpur Surat,Super Area,813,New Property,Poss. by Aug '25,4 out of 14,Unfurnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,3507,2850000,,,Sum,24354382000,,,"2 BHK Apartment for Sale in Aksharkunj apartment, Udhna Surat",2000000,2817
1 BHK Apartment for Sale in Palanpur Surat,Super Area,990,Resale,Poss. by Jul '24,5 out of 13,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 28.0 Lac(s)Read more",2828,2800000,,,Count,1899,,,1 BHK Apartment for Sale in Katar Gam Surat,2000000,3636
1 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,500,New Property,Ready to Move,5 out of 12,Furnished,East,new bulding with good farnichar middal floor,3636,2800000,,,,,,,1 BHK Apartment for Sale in Nanpura Surat,2000000,2857
2 BHK House for Sale in Nansad Surat,Carpet Area,452,New Property,Ready to Move,Ground out of 1,Unfurnished,East,"House at Block No. 81171, Plot No. 71, Vraj Nandini Residency Vibhag 2,  Vill. Nansad, Taluka Kamrej, Dist. SuratRead more",1951,90000000,,,,,,,2 BHK House for Sale in Parvat Patiya Surat,2000000,2667
2 BHK Apartment for Sale in Adajan Surat,Super Area,970,New Property,Ready to Move,6 out of 10,Semi-Furnished,East,3bhk Fully FURNISHED,3093,3000000,,,,,,,1 BHK Apartment for Sale in Ramnagar Surat,2000000,2736
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,750,New Property,Ready to Move,3 out of 5,Unfurnished,East,"2 BHK Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read more",3304,3800000,,,,,,,1 BHK Apartment for Sale in Angan Appartment Surat,2100000,3022
2 BHK Apartment for Sale in Adajan Surat,Super Area,1000,New Property,Ready to Move,2 out of 4,Furnished,East,short distance from surat station,3951,3950000,,,,,,,1 BHK Apartment for Sale in 103 AjithNath Awas Surat,2100000,3333
1 BHK Apartment for Sale in Bhesan Road Surat,Super Area,813,Resale,Poss. by Feb '25,7 out of 14,Unfurnished,East,Ugat bhesan road surat near metro stationAnd near garden vegetable market good locationRead more,3567,2900000,,,,,,,1 BHK Apartment for Sale in Vesu Surat,2160000,2881
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,550,Resale,Ready to Move,5 out of 5,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more",3636,2000000,,,,,,,"1 BHK Apartment for Sale in Shayona Janki Residency, Jahangirabad Surat",2200000,3385
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267,Resale,Ready to Move,2 out of 4,Furnished,North - West,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more",3946,5000000,,,,,,,"1 BHK Apartment for Sale in Nova Residency, Jahangir Pura Surat",2200000,2973
1 BHK House for Sale in Sayan Surat,Carpet Area,432,New Property,Ready to Move,Ground out of 1,Furnished,East,"1 BHK, Residential House is available for Sale in Sayan, Surat for 10.0 Lac(s)Read more",2315,1000000,,,,,,,2 BHK Apartment for Sale in Minaxi Wadi Surat,2200000,2378
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,441,New Property,Ready to Move,3 out of 5,Furnished,South,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 23.51 Lac(s)Read more",3509,2350000,,,,,,,2 BHK Builder Floor for Sale in Katar Gam Surat,2200000,2256
1 BHK Apartment for Sale in Ram Pura Surat,Carpet Area,605,New Property,Ready to Move,2 out of 5,Furnished,East,"1 BHK, Multistorey Apartment is available for Sale in Ram Pura, Surat for 16.25 Lac(s)Read more",2686,1630000,,,,,,,"1 BHK Apartment for Sale in Nil Gagan Apartment, Athwa Gate Surat",2200000,3259
2 BHK Apartment for Sale in Nana Varachha Surat,Super Area,1193,Resale,Ready to Move,4 out of 10,Furnished,East,The Home consists of 2 furnished bathroom and also has 2 balconies. It is located on 4th floor of the 10 floors in the tower and is well ventilated. This is a 2 bed room apartment present in Nana Varachha. It offers 1190 Sq-ft area for use. Expected price of the Home is fixed at 40 Lac. Patel community.Read more,3269,3900000,,,,,,,1 BHK Builder Floor for Sale in Nan Pura Surat,2200000,3385
2 BHK Penthouse for Sale in L P Savani Surat,Carpet Area,1446,Resale,Ready to Move,4 out of 4,Furnished,North - East,"Enroute Adajan to Pal, is placed within 100 meters from L P Savani School, backside of Subhash Chandra Bose Road, joining Pandit Deendayal Upadhyay Cable Bridge directly. Thus one of the primemost areas of Surat.This flat is equipped with gas pipeline, gas geyser, and a huge individual privately owned accessed terrace of 900 sq feet dedicated only for the owners of this wonderful dwelling unit.School, Hospitals, Banks, Groceries, Hardware, Dairy shops, Vegetables, Chakki, Farsan wala etc all within 100 meters distance. Therefore, one of the best locations available.Read more",4006,3990000,,,,,,,1 BHK Apartment for Sale in star pavitra nagri kholvad Surat,2200000,2750
2 BHK Apartment for Sale in Honey Park Surat,Carpet Area,950,New Property,Ready to Move,2 out of 4,Furnished,North - East,"2 BHK, Multistorey Apartment is available for Sale in , Surat for 35.0 Lac(s)Read more",3043,3500000,,,,,,,2 BHK Apartment for Sale in Katargam Surat,2250000,2500
2 BHK Apartment for Sale in 503RIDDHI SIDDHI RESIDENCY Surat,Carpet Area,750,Resale,Ready to Move,5 out of 6,Furnished,East,"good looking a morning sun light, nearby schools, hotels, vegetables market, hospitalsRead more",3333,3500000,,,,,,,1 BHK Apartment for Sale in Subhash Nagar Surat,2300000,3833
2 BHK Apartment for Sale in Rander Road Surat,Super Area,1100,New Property,Ready to Move,3 out of 5,Furnished,East,"Security Cabin, CCTV surveillance, Piped Gas Gujarat Gas,  Parking areaRead more",3455,3800000,,,,,,,"1 BHK Apartment for Sale in S2N Orchid Ventura, Palan Pur Patiya Surat",2350000,3060
2 BHK Builder Floor for Sale in devdhgam Surat,Carpet Area,734,Resale,Ready to Move,2 out of 5,Furnished,East,"Bedroom full furniture, Air conditioner in Bedroom, Inventor for power cut backup approx 6 hours, Sofa set with tea table, full furniture in kitchen, Washing machine,  R O filter in kitchen, WiFi connection, Front door with Personal security camera with mobile connect ,Bathroom with Water Heaters  Exhaust Fan.Read more",2749,2850000,,,,,,,1 BHK House for Sale in Kamrej Surat,2350000,4159
1 BHK Apartment for Sale in Udhna Surat,Super Area,550,Resale,Ready to Move,4 out of 4,Furnished,North - East,"East facing, vastu compliant, Good wind and duffused sunlight. Nearby School, Hospital and market.Read more",2318,1280000,,,,,,,"2 BHK Apartment for Sale in Bhakti Shiv Dhara Residency, Mota Varachha Surat",2400000,2344
2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,Carpet Area,800,New Property,Ready to Move,1 out of 4,Furnished,East,"It is a good area and all facilities like the market, school, hospital, petrol pump, mall, metro , brts, garden and office are within 2 km from home. best price. no any issue in building and home.Read more",2500,2500000,,,,,,,2 BHK Apartment for Sale in Devadh Surat,2500000,2347
2 BHK Apartment for Sale in Rustampura Surat,Carpet Area,945,New Property,Ready to Move,4 out of 4,Furnished,South,"Reliance mall,Apple hospital,Ashapuri mata temple, BRTS BUS STATION,Udhna darwaja,Textile market ring roadRead more",2787,3400000,,,,,,,2 BHK Apartment for Sale in vraj vihar complex koli street adajan gam Surat,2500000,2500
3 BHK House for Sale in Navagam Surat,Carpet Area,1200,New Property,Ready to Move,Ground out of 3,Furnished,West,"Gala type 3story row house,all three floors already on rent.With dastavej , loan facility, gated societyfix priceRead more",2160,2700000,,,,,,,1 BHK Apartment for Sale in Pal Road Surat,2510000,2853
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1200,Resale,Ready to Move,3 out of 5,Furnished,East,"2 BHK, Builder Floor Apartment is available for Sale in Adajan, Surat for 35.0 Lac(s)Read more",2917,3500000,,,,,,,2 BHK Apartment for Sale in Katar Gam Surat,2520000,4423
2 BHK Apartment for Sale in Amroli Surat,Carpet Area,580,New Property,Ready to Move,1 out of 5,Furnished,East,"Near Main road, Garden facing, Corner Flat, First Floor, Good road connectivityRead more",2436,1900000,,,,,,,"1 BHK Apartment for Sale in Swicon Wings, Jahangirabad Surat",2570000,3500
2 BHK Builder Floor for Sale in Pasodara Surat,Super Area,861,New Property,Ready to Move,4 out of 4,Unfurnished,East,This Builder Floor Apartment is located at 1st floor in a building of total 4 floors. This spacious Builder Floor Apartment was constructed approx. 5 to 10 years years back.Read more,1220,1050000,,,,,,,1 BHK Apartment for Sale in Palanpur Gam Surat,2590000,3600
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1170,New Property,Ready to Move,4 out of 4,Unfurnished,South -West,"Nestled in the heart of Adajan, Surat, this 2 BHK builder floor presents a harmonious blend of modern comfort and convenience, offering an ideal abode for discerning homeowners seeking both style and functionality.Property SpecificationsSpanning a generous super built-up area of 1170 sqft, this meticulously crafted residence occupies the 4th floor of a well-designed complex, ensuring serene living elevated above the city's bustle. Its advantageous South-West orientation invites ample natural light and refreshing ventilation, fostering a welcoming ambiance throughout the day. The property comes fully furnished with a tasteful selection of fixed and movable furniture, including a fridge, dining table, crockery and shoe rack, Indian seating, and more, enhancing both aesthetics and functionality. Adorned with ceramic tiles, the flooring exudes a timeless appeal while ensuring effortless maintenance.Comprising 2 cozy bedrooms, the residence boasts 2 impeccably designed Western-style bathrooms, with one attached to the master bedroom and the other serving as a common convenience, each equipped with a geyser for indulgent bathing experiences. An attached balcony extends from one of the bedrooms, offering a tranquil space to unwind while overlooking the picturesque surroundings. The layout encompasses separate living and dining areas, a thoughtful addition that enhances privacy and facilitates seamless entertaining. A dedicated store room provides ample space for organizing essentials, ensuring clutter-free living. The modular kitchen is a culinary haven, featuring modern amenities such as a piped gas connection and a utility area for added convenience.FacilitiesResidents enjoy the convenience of covered parking within the premises, ensuring hassle-free vehicle storage. Ample water supply sourced from both borewell and corporation channels caters to daily needs, ensuring uninterrupted living. A lift provides easy access to all floors, enhancing accessibility for residents of all ages and abilities.LocalityStrategically positioned opposite the BSNL office, the property enjoys a prime location within Adajan, Surat, with an array of essential amenities within easy reach. Reputable schools and hospitals lie within a 2 km radius, ensuring quality education and healthcare services for residents. Shopping enthusiasts will delight in the proximity to malls and supermarkets, offering a diverse range of retail and entertainment options. Banking services and ATMs are conveniently located nearby, ensuring financial accessibility for residents. With public transportation readily available and Surat railway station just 6 km away, commuting is a breeze, connecting residents to the wider city and beyond. Read more",3248,3800000,,,,,,,"2 BHK Apartment for Sale in Nest Buildcon Rhythm Residency and Plaza, Amroli Surat",2600000,2566
1 BHK Apartment for Sale in suman ashish Surat,Carpet Area,3,New Property,Ready to Move,2 out of 7,Unfurnished,East,"Flat at centre of city and near Soham circle, yaha se school, shyam mandir, collage sabhi bahut pass hai, DMart 1 km, railway station 10 kmRead more",3429,1200000,,,,,,,1 BHK House for Sale in Palsana Surat,2600000,5898
2 BHK Apartment for Sale in Palanpur Gam Surat,Super Area,1200,New Property,Ready to Move,4 out of 8,Unfurnished,North, Freehold Multistorey Apartment faces North direction & is located at 4th floor. Ample space for covered car parking for visitors. Read more,3750,4500000,,,,,,,2 BHK Apartment for Sale in Radhakishan Flats Surat,2650000,2624
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Carpet Area,660,New Property,Ready to Move,4 out of 5,Furnished,East,fully Furnished flat on sell,3932,4600000,,,,,,,"2 BHK Apartment for Sale in Siddhi Vinayak Residency, Sachin Surat",2700000,2512
2 BHK Apartment for Sale in Varachha Surat,Super Area,990,New Property,Ready to Move,1 out of 6,Unfurnished,North,"only for patel, contact for buy",3838,3800000,,,,,,,3 BHK House for Sale in Palsana Surat,2700000,3125
2 BHK Apartment for Sale in Pal Gam Surat,Carpet Area,1000,New Property,Ready to Move,3 out of 5,Unfurnished,South -West,No Gst No development fee No any Extra charge,3529,4500000,,,,,,,3 BHK House for Sale in Navagam Surat,2700000,2160
"2 BHK Apartment for Sale in Swagat Clifton, Bhimrad Surat",Super Area,1252,New Property,Ready to Move,5 out of 14,Unfurnished,East,main road view with very precious locality,3594,4500000,,,,,,,"2 BHK Penthouse for Sale in Gruham Luxuria, Masma Village Surat",2750000,76389
1 BHK House for Sale in Dindoli Surat,Super Area,504,New Property,Ready to Move,Ground out of 1,Unfurnished,West,It is under construction so we can customise your house.,3968,2000000,,,,,,,1 BHK Apartment for Sale in Kailash Nagar Surat,2800000,3562
2 BHK Apartment for Sale in Piplod Surat,Carpet Area,800,New Property,Ready to Move,5 out of 7,Furnished,East,"Property is available in prime location. Road Touch property. All basic requirement like Market, Malls, Schools, Hospitals, Airport, Cinemas etc, are available near by the project. This will become your right choice.Read more",4167,5000000,,,,,,,1 BHK Apartment for Sale in Jahangir Pura Surat,2800000,3636
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Super Area,1050,New Property,Ready to Move,8 out of 12,Unfurnished,East,"Corner flat, higher floor, city view and fully vast compliant",3714,3900000,,,,,,,1 BHK Apartment for Sale in Palan Pur Patiya Surat,2820000,3659
2 BHK Apartment for Sale in Althan Surat,Super Area,1241,New Property,Poss. by Jul '24,7 out of 12,Unfurnished,East,2 BHK Luxurious Flat For Sell In Althan Area With All Aminities .Read more,3626,4500000,,,,,,,2 BHK Builder Floor for Sale in devdhgam Surat,2850000,2749
"3 BHK Apartment for Sale in Penttagon Residency, Palanpur Jakatnaka Surat",Super Area,1384,New Property,Ready to Move,7 out of 13,Unfurnished,East,3 BHK Flat For Sell In Palanpur Area With All Aminities.,3505,4850000,,,,,,,1 BHK Apartment for Sale in dream home real estate Surat,2850000,3507
3 BHK House for Sale in Dindoli Surat,Carpet Area,532,New Property,Ready to Move,Ground out of 1,Semi-Furnished,East,"Well maintained, 2 bathrooms have attached toilets, plenty of storage shelfs, recently painted, water proof, 1st floor bedrooms are way more spaciousRead more",6203,3300000,,,,,,,1 BHK Apartment for Sale in Bhesan Road Surat,2900000,3567
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,980,New Property,Ready to Move,1 out of 12,Furnished,East,"prime location, near by hospitals + Mall + Cinema + Vegitable mkt , 9km from station, 10km from airport,Read more",3281,4200000,,,,,,,2 BHK House for Sale in Olpad Surat,2900000,3222
1 BHK Builder Floor for Sale in Nan Pura Surat,Super Area,650,New Property,Ready to Move,3 out of 4,Unfurnished,East,This property is good for a family man the ground in the middel of the building is a play area. The neighborhoods is so good they treat you like a family. Although water supply is 247. Electricity is always good. The house is renovated just 9 months ago nd all the wiresing is done againRead more,3385,2200000,,,,,,,2 BHK Builder Floor for Sale in Amroli Surat,2900000,2829
1 BHK Apartment for Sale in 103 AjithNath Awas Surat,Super Area,630,New Property,Ready to Move,1 out of 4,Unfurnished,East,call me eight one six zero two nine six nine eight seven.,3333,2100000,,,,,,,2 BHK Apartment for Sale in Udhna Surat,2900000,2636
2 BHK Apartment for Sale in Mota Varachha Surat,Super Area,1312,New Property,Ready to Move,2 out of 5,Unfurnished,North,2 BHK Flat located near Mita varachha Talav,3800,4990000,,,,,,,2 BHK Apartment for Sale in Bhumi complex Surat,3000000,3158
"2 BHK Apartment for Sale in Swapna Srusthi Residency Plots, Bhestan Surat",Carpet Area,750,New Property,Ready to Move,1 out of 4,Semi-Furnished,North - East,"1st floor, Garden facing",2722,2450000,,,,,,,2 BHK Apartment for Sale in Society Surat,3000000,2778
"2 BHK Apartment for Sale in Mahavir Residency, Rander Road Surat",Carpet Area,1326,New Property,Ready to Move,3 out of 9,Semi-Furnished,East,"bus stand , railway station and main market near to the property",3333,5000000,,,,,,,"2 BHK Apartment for Sale in Samruddhi Apartment, Gopi Pura Surat",3000000,2527
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",Super Area,1250,New Property,Ready to Move,11 out of 12,Semi-Furnished,East,"Newly colour done , new Morden kitchen trolly installed , good sliding window installed , 3 gardens in building , flat as per vastu, main road touch and Morden amenitiesRead more",3280,4100000,,,,,,,2 BHK Apartment for Sale in gail tower Surat,3100000,2952
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",Super Area,970,New Property,Ready to Move,3 out of 5,Furnished,East,Fully furnished and well maintained flat in best price,3918,3800000,,,,,,,2 BHK Apartment for Sale in Anand Mahal Road Surat,3200000,2667
"2 BHK Apartment for Sale in Ramaa Residency, Jahangirabad Surat",Carpet Area,650,New Property,Ready to Move,9 out of 13,Furnished,South -West,"A very luxurious furnished flat with nice interiors,spacious flat all fix furniture in flat new unused flat all common ammenties Near to DmartRead more",3814,4500000,,,,,,,3 BHK Apartment for Sale in Muktanand Nagar Surat,3200000,2909
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1000,New Property,Ready to Move,5 out of 5,Unfurnished,North - West,24 hours water supply and free parking,3500,3500000,,,,,,,3 BHK House for Sale in Masma Village Surat,3250000,2983
